scene,scan,name,path_rgb,path_depth,path_mask
scene_00000,scan_00000,00000_00000_indoors_060_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_060_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_060_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_060_050_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_080_000,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_080_000.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_080_000_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_080_000_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_080_000_C,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_080_000_C.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_080_000_depth_C.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_080_000_depth_mask_C.npy
scene_00000,scan_00000,00000_00000_indoors_090_010,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_090_010.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_090_010_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_090_010_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_110_020,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_110_020.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_110_020_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_110_020_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_120_020,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_120_020.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_120_020_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_120_020_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_120_020_S,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_120_020_S.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_120_020_depth_S.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_120_020_depth_mask_S.npy
scene_00000,scan_00000,00000_00000_indoors_130_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_130_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_130_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_130_050_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_140_020,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_140_020.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_140_020_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_140_020_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_140_030,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_140_030.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_140_030_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_140_030_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_140_030_FGS,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_140_030_FGS.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_140_030_depth_FGS.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_140_030_depth_mask_FGS.npy
scene_00000,scan_00000,00000_00000_indoors_150_000,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_150_000.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_150_000_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_150_000_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_040_030,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_030.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_030_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_040_030_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_120_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_120_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_120_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_120_050_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_220_030,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_220_030.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_220_030_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_220_030_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_320_010,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_320_010.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_320_010_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_320_010_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_160_030,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_160_030.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_160_030_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_160_030_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_160_040,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_160_040.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_160_040_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_160_040_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_160_040_FCG,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_160_040_FCG.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_160_040_depth_FCG.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_160_040_depth_mask_FCG.npy
scene_00000,scan_00000,00000_00000_indoors_170_000,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_170_000.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_170_000_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_170_000_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_170_020,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_170_020.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_170_020_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_170_020_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_180_010,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_180_010.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_180_010_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_180_010_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_180_010_G,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_180_010_G.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_180_010_depth_G.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_180_010_depth_mask_G.npy
scene_00000,scan_00000,00000_00000_indoors_180_030,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_180_030.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_180_030_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_180_030_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_190_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_190_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_190_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_190_050_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_200_040,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_200_040.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_200_040_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_200_040_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_220_030_FCS,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_220_030_FCS.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_220_030_depth_FCS.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_220_030_depth_mask_FCS.npy
scene_00000,scan_00000,00000_00000_indoors_220_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_220_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_220_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_220_050_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_240_020,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_240_020.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_240_020_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_240_020_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_240_040,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_240_040.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_240_040_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_240_040_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_240_040_CG,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_240_040_CG.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_240_040_depth_CG.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_240_040_depth_mask_CG.npy
scene_00000,scan_00000,00000_00000_indoors_260_020,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_260_020.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_260_020_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_260_020_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_260_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_260_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_260_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_260_050_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_270_000,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_270_000.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_270_000_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_270_000_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_270_000_FCGS,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_270_000_FCGS.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_270_000_depth_FCGS.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_270_000_depth_mask_FCGS.npy
scene_00000,scan_00000,00000_00000_indoors_270_010,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_270_010.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_270_010_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_270_010_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_270_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_270_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_270_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_270_050_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_280_000,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_280_000.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_280_000_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_280_000_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_280_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_280_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_280_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_280_050_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_280_050_FCGS,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_280_050_FCGS.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_280_050_depth_FCGS.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_280_050_depth_mask_FCGS.npy
scene_00000,scan_00000,00000_00000_indoors_290_000,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_290_000.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_290_000_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_290_000_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_320_020,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_320_020.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_320_020_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_320_020_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_320_020_G,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_320_020_G.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_320_020_depth_G.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_320_020_depth_mask_G.npy
scene_00000,scan_00000,00000_00000_indoors_320_040,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_320_040.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_320_040_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_320_040_depth_mask.npy
scene_00000,scan_00000,00000_00000_indoors_340_000,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_340_000.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_340_000_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00000/00000_00000_indoors_340_000_depth_mask.npy
scene_00000,scan_00001,00000_00001_indoors_010_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_010_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_010_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_010_050_depth_mask.npy
scene_00000,scan_00001,00000_00001_indoors_010_050_S,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_010_050_S.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_010_050_depth_S.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_010_050_depth_mask_S.npy
scene_00000,scan_00001,00000_00001_indoors_030_030,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_030_030.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_030_030_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_030_030_depth_mask.npy
scene_00000,scan_00001,00000_00001_indoors_050_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_050_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_050_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_050_050_depth_mask.npy
scene_00000,scan_00001,00000_00001_indoors_060_000,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_060_000.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_060_000_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_060_000_depth_mask.npy
scene_00000,scan_00001,00000_00001_indoors_060_020_CS,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_060_020_CS.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_060_020_depth_CS.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_060_020_depth_mask_CS.npy
scene_00000,scan_00001,00000_00001_indoors_060_030,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_060_030.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_060_030_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_060_030_depth_mask.npy
scene_00000,scan_00001,00000_00001_indoors_070_020,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_070_020.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_070_020_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_070_020_depth_mask.npy
scene_00000,scan_00001,00000_00001_indoors_070_050,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_070_050.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_070_050_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_070_050_depth_mask.npy
scene_00000,scan_00001,00000_00001_indoors_070_050_CGS,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_070_050_CGS.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_070_050_depth_CGS.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_070_050_depth_mask_CGS.npy
scene_00000,scan_00001,00000_00001_indoors_080_020,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_080_020.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_080_020_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_080_020_depth_mask.npy
scene_00000,scan_00001,00000_00001_indoors_080_030,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_080_030.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_080_030_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_080_030_depth_mask.npy
scene_00000,scan_00001,00000_00001_indoors_090_040,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_090_040.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_090_040_depth.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_090_040_depth_mask.npy
scene_00000,scan_00001,00000_00001_indoors_090_040_FCS,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_090_040_FCS.png,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_090_040_depth_FCS.npy,../Datasets/DIODE_FULL - Copia (2)/scene_00000/scan_00001/00000_00001_indoors_090_040_depth_mask_FCS.npy
